meta_category	cohort	n	agentic_n	visual_theme	color	typography	components	layout	depth	motion	responsive	voice	donts	accessibility	iconography	data_viz	agent_guide	avg_never	avg_always	avg_tables
AI & LLM	dev_analyst	15	15	100	93	100	100	100	80	27	80	7	93	0	0	0	80	2	2	27
Media & Consumer	other	12	0	100	100	100	100	100	100	0	100	0	92	0	0	0	100	5	2	36
Productivity & SaaS	dev_analyst	12	0	100	100	100	100	100	67	33	67	8	83	8	0	0	75	2	1	30
Creative & Artistic	other	11	0	100	0	100	100	100	0	100	0	100	100	0	0	0	0	0	0	0
Professional & Corporate	other	10	0	100	0	100	100	100	0	100	0	100	100	0	0	0	0	0	0	0
Modern & Minimal	other	10	0	100	0	100	100	100	0	100	0	100	100	0	0	0	0	0	0	0
Backend & Data	dev_analyst	9	0	100	100	100	100	100	89	11	89	11	100	0	0	0	100	2	1	33
Developer Tools	dev_analyst	9	4	100	89	100	100	100	78	33	78	11	89	0	0	0	78	1	1	31
Themed & Unique	other	8	1	100	38	100	100	100	50	50	38	50	88	0	0	0	38	1	1	10
Bold & Expressive	other	8	0	100	0	100	100	100	0	100	0	100	100	0	0	0	0	0	0	0
Design & Creative	dev_analyst	7	0	100	100	100	100	100	86	14	86	0	100	0	0	0	86	1	1	20
Fintech & Crypto	other	7	0	100	100	100	100	100	100	0	100	0	100	0	0	0	100	2	1	29
Automotive	other	7	0	100	100	100	100	100	100	0	100	0	100	0	0	0	100	3	2	33
Morphism & Effects	other	6	0	100	0	100	100	100	0	100	0	100	100	0	0	0	0	0	0	0
E-Commerce & Retail	other	5	0	100	100	100	100	100	100	0	100	0	100	0	0	0	100	3	2	49
Layout & Structure	other	4	0	100	0	100	100	100	0	100	0	100	100	0	0	0	0	0	0	0
Retro & Nostalgic	other	4	0	100	0	100	100	100	0	100	0	100	100	0	0	0	0	0	0	0
Starter	other	3	0	100	100	100	100	100	100	0	100	0	100	0	0	0	100	3	0	16
Editorial · Studio	other	1	0	100	0	100	100	100	0	100	100	100	100	0	0	0	100	13	3	0
Editorial & Print	other	1	0	100	100	100	100	100	100	0	100	0	100	0	0	0	100	10	3	43
Editorial / Personal / Publication	other	1	0	100	100	100	100	100	0	100	0	100	100	100	0	0	0	5	7	50
Social & Messaging	other	1	0	0	100	100	100	100	0	100	0	0	0	0	0	0	0	0	0	58
