Icon Name,Old Icon Name,Total Occurrences,Unique Files,Import Count
ChevronDown,chevronDownIcon,1036,489,198
Plus,plusIcon,775,357,146
Search,searchIcon,740,349,113
ChevronRight,chevronRightIcon,735,345,152
NewWindow,newWindowIcon,697,302,149
Close,closeIcon,619,297,136
Danger,DangerIcon,570,260,143
Overflow,overflowIcon,557,266,106
Pencil,pencilIcon,542,244,106
Trash,trashIcon,522,244,78
CheckCircle,checkCircleIcon,500,226,58
InfoSmall,InfoSmallIcon,496,209,85
Check,checkIcon,474,218,104
Table,tableIcon,350,160,60
Copy,copyIcon,344,148,69
Sparkle,SparkleIcon,269,123,64
Refresh,refreshIcon,259,117,35
Notebook,notebookIcon,242,107,38
File,fileIcon,239,110,38
ChevronUp,chevronUpIcon,229,106,34
Clock,clockIcon,228,101,34
Catalog,catalogIcon,222,82,33
ChevronLeft,chevronLeftIcon,213,93,29
Circle,circleIcon,207,84,42
Info,InfoIcon,202,96,28
Dashboard,dashboardIcon,194,81,23
Sync,syncIcon,185,87,35
User,userIcon,178,80,21
ChartLine,chartLineIcon,167,72,17
Play,playIcon,165,72,23
FileDocument,fileDocumentIcon,154,62,20
Pipeline,PipelineIcon,152,65,15
Models,modelsIcon,151,63,11
Workflows,WorkflowsIcon,148,64,17
Code,codeIcon,148,63,22
UserGroup,userGroupIcon,145,64,12
SparkleRectangle,SparkleRectangleIcon,138,61,13
SpeechBubble,speechBubbleIcon,138,59,19
ArrowLeft,arrowLeftIcon,137,61,27
Notification,notificationIcon,136,54,11
Download,downloadIcon,135,57,21
Link,linkIcon,132,63,13
ArrowRight,arrowRightIcon,131,52,19
Visible,visibleIcon,130,56,18
Filter,filterIcon,127,57,19
Function,FunctionIcon,127,53,12
Data,dataIcon,124,56,20
List,listIcon,124,56,16
Key,KeyIcon,123,45,26
Columns,ColumnsIcon,116,51,13
Cloud,cloudIcon,113,49,8
Stop,stopIcon,112,49,12
Dash,dashIcon,110,43,15
CloudModel,CloudModelIcon,107,46,13
Lightbulb,LightbulbIcon,106,42,16
Lightning,lightningIcon,102,41,9
GridDash,gridDashIcon,102,40,17
SparkleDouble,SparkleDoubleIcon,101,43,9
Globe,GlobeIcon,101,40,11
Beaker,beakerIcon,100,43,13
ThumbsUp,ThumbsUpIcon,100,41,16
VisibleOff,visibleOffIcon,98,40,14
ArrowUp,arrowUpIcon,93,40,13
QueryEditor,QueryEditorIcon,93,32,10
DotsCircle,DotsCircleIcon,92,35,2
