Name,Source,Hex,R,G,B,H,S%,L%,OKLCH-L,OKLCH-C,OKLCH-H,Display P3
db-blue100,DuBois,#F0F8FF,240,248,255,208,100,97,0.9751,0.0127,244.251,color(display-p3 0.9469 0.9715 0.9970)
db-blue200,DuBois,#D7EDFE,215,237,254,206,95,92,0.9351,0.0328,241.07,color(display-p3 0.8593 0.9267 0.9890)
db-blue300,DuBois,#BAE1FC,186,225,252,205,92,86,0.8907,0.0553,238.469,color(display-p3 0.7596 0.8778 0.9773)
db-blue400,DuBois,#8ACAFF,138,202,255,207,100,77,0.8156,0.0997,244.432,color(display-p3 0.5960 0.7854 0.9810)
db-blue500,DuBois,#4299E0,66,153,224,207,72,57,0.6621,0.1346,246.463,color(display-p3 0.3515 0.5924 0.8557)
db-blue600,DuBois,#2272B4,34,114,180,207,68,42,0.5381,0.1277,248.218,color(display-p3 0.2294 0.4407 0.6857)
db-blue700,DuBois,#0E538B,14,83,139,207,82,30,0.4331,0.1123,249.246,color(display-p3 0.1472 0.3204 0.5285)
db-blue800,DuBois,#04355D,4,53,93,207,92,19,0.3226,0.086,249.428,color(display-p3 0.0810 0.2043 0.3529)
db-green100,DuBois,#F3FCF6,243,252,246,140,60,97,0.9827,0.0123,157.008,color(display-p3 0.9594 0.9871 0.9661)
db-green200,DuBois,#D4F7DF,212,247,223,139,69,90,0.9446,0.0485,155.412,color(display-p3 0.8579 0.9645 0.8810)
db-green300,DuBois,#B1ECC5,177,236,197,140,61,81,0.8924,0.0804,155.486,color(display-p3 0.7423 0.9190 0.7837)
db-green400,DuBois,#8DDDA8,141,221,168,140,54,71,0.8317,0.1088,154.353,color(display-p3 0.6242 0.8586 0.6751)
db-green500,DuBois,#3BA65E,59,166,94,140,48,44,0.646,0.1445,150.877,color(display-p3 0.3553 0.6423 0.3962)
db-green600,DuBois,#277C43,39,124,67,140,52,32,0.5211,0.1199,150.662,color(display-p3 0.2540 0.4795 0.2850)
db-green700,DuBois,#115026,17,80,38,140,65,19,0.3812,0.0937,150.03,color(display-p3 0.1467 0.3089 0.1663)
db-green800,DuBois,#093919,9,57,25,140,73,13,0.3044,0.0753,149.954,color(display-p3 0.0967 0.2199 0.1112)
db-red100,DuBois,#FFF5F7,255,245,247,348,100,98,0.9785,0.011,3.488,color(display-p3 0.9932 0.9621 0.9685)
db-red200,DuBois,#FDE2E8,253,226,232,347,87,94,0.9364,0.0306,2.587,color(display-p3 0.9745 0.8901 0.9095)
db-red300,DuBois,#FBD0D8,251,208,216,349,84,90,0.8966,0.0494,5.564,color(display-p3 0.9573 0.8220 0.8474)
db-red400,DuBois,#F792A6,247,146,166,348,86,77,0.7709,0.1233,7.615,color(display-p3 0.9144 0.5915 0.6529)
db-red500,DuBois,#E65B77,230,91,119,348,74,63,0.6572,0.1732,10.933,color(display-p3 0.8376 0.3921 0.4720)
db-red600,DuBois,#C82D4C,200,45,76,348,63,48,0.5515,0.1897,15.377,color(display-p3 0.7219 0.2336 0.3086)
db-red700,DuBois,#9E102C,158,16,44,348,82,34,0.4492,0.1712,19.14,color(display-p3 0.5677 0.1351 0.1868)
db-red800,DuBois,#630316,99,3,22,348,94,20,0.3184,0.1247,19.683,color(display-p3 0.3539 0.0612 0.0966)
db-yellow100,DuBois,#FFF9EB,255,249,235,42,100,96,0.983,0.0195,87.511,color(display-p3 0.9959 0.9773 0.9270)
db-yellow200,DuBois,#FCEACA,252,234,202,38,89,89,0.9433,0.0462,82.036,color(display-p3 0.9763 0.9201 0.8059)
db-yellow300,DuBois,#F8D4A5,248,212,165,34,86,81,0.8892,0.0732,74.039,color(display-p3 0.9495 0.8366 0.6698)
db-yellow400,DuBois,#F2BE88,242,190,136,31,80,74,0.8359,0.0919,67.079,color(display-p3 0.9172 0.7531 0.5625)
db-yellow500,DuBois,#DE7921,222,121,33,28,74,50,0.6768,0.1555,55.231,color(display-p3 0.8180 0.4946 0.2214)
db-yellow600,DuBois,#BE501E,190,80,30,19,73,43,0.5673,0.1541,41.939,color(display-p3 0.6928 0.3400 0.1771)
db-yellow700,DuBois,#93320B,147,50,11,17,86,31,0.4547,0.1385,38.873,color(display-p3 0.5328 0.2224 0.1020)
db-yellow800,DuBois,#5F1B02,95,27,2,16,96,19,0.3295,0.1042,38.419,color(display-p3 0.3425 0.1252 0.0426)
db-grey050,DuBois,#F6F7F9,246,247,249,220,20,97,0.9759,0.0029,264.542,color(display-p3 0.9655 0.9685 0.9756)
db-grey100,DuBois,#E8ECF0,232,236,240,210,21,93,0.9412,0.0069,247.898,color(display-p3 0.9127 0.9250 0.9394)
db-grey200,DuBois,#D1D9E1,209,217,225,210,21,85,0.8815,0.014,247.987,color(display-p3 0.8253 0.8500 0.8790)
db-grey300,DuBois,#C0CDD8,192,205,216,207,24,80,0.8417,0.0209,243.463,color(display-p3 0.7624 0.8023 0.8424)
db-grey350,DuBois,#92A4B3,146,164,179,207,18,64,0.7096,0.0299,243.268,color(display-p3 0.5859 0.6409 0.6959)
db-grey400,DuBois,#8396A5,131,150,165,206,16,58,0.6632,0.0311,241.84,color(display-p3 0.5280 0.5859 0.6410)
db-grey500,DuBois,#5F7281,95,114,129,206,15,44,0.5421,0.0326,242.042,color(display-p3 0.3871 0.4448 0.4999)
db-grey600,DuBois,#445461,68,84,97,207,18,32,0.4373,0.0294,242.938,color(display-p3 0.2790 0.3276 0.3753)
db-grey650,DuBois,#37444F,55,68,79,208,18,26,0.3796,0.0253,244.033,color(display-p3 0.2257 0.2652 0.3055)
db-grey700,DuBois,#1F272D,31,39,45,206,18,15,0.2676,0.016,240.624,color(display-p3 0.1277 0.1520 0.1741)
db-grey800,DuBois,#11171C,17,23,28,207,24,9,0.2008,0.0136,243.633,color(display-p3 0.0713 0.0895 0.1079)
db-neutral050,DuBois,#F7F7F7,247,247,247,0,0,97,0.9761,0,89.876,color(display-p3 0.9687 0.9686 0.9685)
db-neutral100,DuBois,#EBEBEB,235,235,235,0,0,92,0.9401,0,89.876,color(display-p3 0.9216 0.9216 0.9215)
db-neutral200,DuBois,#D8D8D8,216,216,216,0,0,85,0.8822,0,89.876,color(display-p3 0.8471 0.8471 0.8470)
db-neutral300,DuBois,#CBCBCB,203,203,203,0,0,80,0.8421,0,89.876,color(display-p3 0.7961 0.7961 0.7960)
db-neutral350,DuBois,#A2A2A2,162,162,162,0,0,64,0.7122,0,89.876,color(display-p3 0.6353 0.6353 0.6352)
db-neutral400,DuBois,#939393,147,147,147,0,0,58,0.6633,0,89.876,color(display-p3 0.5765 0.5765 0.5764)
db-neutral500,DuBois,#6F6F6F,111,111,111,0,0,44,0.5417,0,89.876,color(display-p3 0.4353 0.4353 0.4352)
db-neutral600,DuBois,#525252,82,82,82,0,0,32,0.4386,0,89.876,color(display-p3 0.3216 0.3216 0.3215)
db-neutral650,DuBois,#424242,66,66,66,0,0,26,0.3791,0,89.876,color(display-p3 0.2588 0.2588 0.2588)
db-neutral700,DuBois,#262626,38,38,38,0,0,15,0.2686,0,89.876,color(display-p3 0.1490 0.1490 0.1490)
db-neutral800,DuBois,#161616,22,22,22,0,0,9,0.2002,0,89.876,color(display-p3 0.0863 0.0863 0.0863)
db-white,DuBois,#FFFFFF,255,255,255,0,0,100,1,0,89.876,color(display-p3 1.0001 1.0000 0.9999)
db-brown,DuBois,#A6630C,166,99,12,34,87,35,0.5625,0.1232,64.288,color(display-p3 0.6146 0.4006 0.1469)
db-coral,DuBois,#C83243,200,50,67,353,60,49,0.5539,0.1855,19.881,color(display-p3 0.7226 0.2478 0.2790)
db-indigo,DuBois,#434A93,67,74,147,235,37,42,0.4417,0.1184,276.293,color(display-p3 0.2679 0.2893 0.5578)
db-lemon,DuBois,#FACB66,250,203,102,41,94,69,0.8638,0.1301,84.442,color(display-p3 0.9511 0.8031 0.4620)
db-lime,DuBois,#308613,48,134,19,105,75,30,0.5466,0.1656,139.691,color(display-p3 0.2863 0.5184 0.1668)
db-pink,DuBois,#B45091,180,80,145,321,40,51,0.5788,0.1504,343.051,color(display-p3 0.6574 0.3366 0.5577)
db-purple,DuBois,#8A63BF,138,99,191,265,42,57,0.5798,0.141,301.742,color(display-p3 0.5181 0.3945 0.7272)
db-teal,DuBois,#04867D,4,134,125,176,94,27,0.5585,0.097,186.528,color(display-p3 0.2302 0.5174 0.4890)
db-turquoise,DuBois,#137DAE,19,125,174,199,80,38,0.5584,0.1151,236.075,color(display-p3 0.2259 0.4828 0.6654)
db-ai-gradientStart,DuBois-AI,#4299E0,66,153,224,207,72,57,0.6621,0.1346,246.463,color(display-p3 0.3515 0.5924 0.8557)
db-ai-gradientMid,DuBois-AI,#CA42E0,202,66,224,292,72,57,0.634,0.2451,321.73,color(display-p3 0.7324 0.2981 0.8503)
db-ai-gradientEnd,DuBois-AI,#FF5F46,255,95,70,8,100,64,0.6913,0.1994,31.41,color(display-p3 0.9275 0.4153 0.3154)
shadcn-light--background,shadcn-light,#FFFFFF,255,255,255,0,0,100,1,0,89.876,color(display-p3 1.0001 1.0000 0.9999)
